0.00632;18.00l;2.310;0;0.5380;6.5750;65.20;4.0900l;1;296.0;15.30;396.90l;4.98;24.00
0.02731l;0.00l;7.070;0;0.4690;6.4210;78.90;4.9671l;2;242.0;17.80;396.90l;9.14;21.60
0.02729l;0.00l;7.070;0;0.4690;7.1850;61.10;4.9671l;2;242.0;17.80;392.83l;4.03;34.70
0.03237l;0.00l;2.180;0;0.4580;6.9980;45.80;6.0622l;3;222.0;18.70;394.63l;2.94;33.40
0.06905l;0.00l;2.180;0;0.4580;7.1470;54.20;6.0622l;3;222.0;18.70;396.90l;5.33;36.20
0.02985l;0.00l;2.180;0;0.4580;6.4300;58.70;6.0622l;3;222.0;18.70;394.12l;5.21;28.70
0.08829;12.50l;7.870;0;0.5240;6.0120;66.60;5.5605l;5;311.0;15.20;395.60;12.43;22.90
0.14455;12.50l;7.870;0;0.5240;6.1720;96.10;5.9505l;5;311.0;15.20;396.90;19.15;27.10
0.21124;12.50l;7.870;0;0.5240;5.6310;100.00;6.0821l;5;311.0;15.20;386.63;29.93;16.50
0.17004;12.50l;7.870;0;0.5240;6.0040;85.90;6.5921l;5;311.0;15.20;386.71;17.10;18.90
0.22489;12.50l;7.870;0;0.5240;6.3770;94.30;6.3467l;5;311.0;15.20;392.52;20.45;15.00
0.11747;12.50l;7.870;0;0.5240;6.0090;82.90;6.2267l;5;311.0;15.20;396.90;13.27;18.90
0.09378;12.50l;7.870;0;0.5240;5.8890;39.00;5.4509l;5;311.0;15.20;390.50;15.71;21.70
0.62976l;0.00l;8.140;0;0.5380;5.9490;61.80;4.7075l;4;307.0;21.00;396.90l;8.26;20.40
0.63796l;0.00l;8.140;0;0.5380;6.0960;84.50;4.4619l;4;307.0;21.00;380.02;10.26;18.20
0.62739l;0.00l;8.140;0;0.5380;5.8340;56.50;4.4986l;4;307.0;21.00;395.62l;8.47;19.90
1.05393l;0.00l;8.140;0;0.5380;5.9350;29.30;4.4986l;4;307.0;21.00;386.85l;6.58;23.10
0.78420l;0.00l;8.140;0;0.5380;5.9900;81.70;4.2579l;4;307.0;21.00;386.75;14.67;17.50
0.80271l;0.00l;8.140;0;0.5380;5.4560;36.60;3.7965l;4;307.0;21.00;288.99;11.69;20.20
0.72580l;0.00l;8.140;0;0.5380;5.7270;69.50;3.7965l;4;307.0;21.00;390.95;11.28;18.20
1.25179l;0.00l;8.140;0;0.5380;5.5700;98.10;3.7979l;4;307.0;21.00;376.57;21.02;13.60
0.85204l;0.00l;8.140;0;0.5380;5.9650;89.20;4.0123l;4;307.0;21.00;392.53;13.83;19.60
1.23247l;0.00l;8.140;0;0.5380;6.1420;91.70;3.9769l;4;307.0;21.00;396.90;18.72;15.20
0.98843l;0.00l;8.140;0;0.5380;5.8130;100.00;4.0952l;4;307.0;21.00;394.54;19.88;14.50
0.75026l;0.00l;8.140;0;0.5380;5.9240;94.10;4.3996l;4;307.0;21.00;394.33;16.30;15.60
0.84054l;0.00l;8.140;0;0.5380;5.5990;85.70;4.4546l;4;307.0;21.00;303.42;16.51;13.90
0.67191l;0.00l;8.140;0;0.5380;5.8130;90.30;4.6820l;4;307.0;21.00;376.88;14.81;16.60
0.95577l;0.00l;8.140;0;0.5380;6.0470;88.80;4.4534l;4;307.0;21.00;306.38;17.28;14.80
0.77299l;0.00l;8.140;0;0.5380;6.4950;94.40;4.4547l;4;307.0;21.00;387.94;12.80;18.40
1.00245l;0.00l;8.140;0;0.5380;6.6740;87.30;4.2390l;4;307.0;21.00;380.23;11.98;21.00
1.13081l;0.00l;8.140;0;0.5380;5.7130;94.10;4.2330l;4;307.0;21.00;360.17;22.60;12.70
1.35472l;0.00l;8.140;0;0.5380;6.0720;100.00;4.1750l;4;307.0;21.00;376.73;13.04;14.50
1.38799l;0.00l;8.140;0;0.5380;5.9500;82.00;3.9900l;4;307.0;21.00;232.60;27.71;13.20
1.15172l;0.00l;8.140;0;0.5380;5.7010;95.00;3.7872l;4;307.0;21.00;358.77;18.35;13.10
1.61282l;0.00l;8.140;0;0.5380;6.0960;96.90;3.7598l;4;307.0;21.00;248.31;20.34;13.50
0.06417l;0.00l;5.960;0;0.4990;5.9330;68.20;3.3603l;5;279.0;19.20;396.90l;9.68;18.90
0.09744l;0.00l;5.960;0;0.4990;5.8410;61.40;3.3779l;5;279.0;19.20;377.56;11.41;20.00
0.08014l;0.00l;5.960;0;0.4990;5.8500;41.50;3.9342l;5;279.0;19.20;396.90l;8.77;21.00
0.17505l;0.00l;5.960;0;0.4990;5.9660;30.20;3.8473l;5;279.0;19.20;393.43;10.13;24.70
0.02763;75.00l;2.950;0;0.4280;6.5950;21.80;5.4011l;3;252.0;18.30;395.63l;4.32;30.80
0.03359;75.00l;2.950;0;0.4280;7.0240;15.80;5.4011l;3;252.0;18.30;395.62l;1.98;34.90
0.12744l;0.00l;6.910;0;0.4480;6.7700l;2.90;5.7209l;3;233.0;17.90;385.41l;4.84;26.60
0.14150l;0.00l;6.910;0;0.4480;6.1690l;6.60;5.7209l;3;233.0;17.90;383.37l;5.81;25.30
0.15936l;0.00l;6.910;0;0.4480;6.2110l;6.50;5.7209l;3;233.0;17.90;394.46l;7.44;24.70
0.12269l;0.00l;6.910;0;0.4480;6.0690;40.00;5.7209l;3;233.0;17.90;389.39l;9.55;21.20
0.17142l;0.00l;6.910;0;0.4480;5.6820;33.80;5.1004l;3;233.0;17.90;396.90;10.21;19.30
0.18836l;0.00l;6.910;0;0.4480;5.7860;33.30;5.1004l;3;233.0;17.90;396.90;14.15;20.00
0.22927l;0.00l;6.910;0;0.4480;6.0300;85.50;5.6894l;3;233.0;17.90;392.74;18.80;16.60
0.25387l;0.00l;6.910;0;0.4480;5.3990;95.30;5.8700l;3;233.0;17.90;396.90;30.81;14.40
0.21977l;0.00l;6.910;0;0.4480;5.6020;62.00;6.0877l;3;233.0;17.90;396.90;16.20;19.40
0.08873;21.00l;5.640;0;0.4390;5.9630;45.70;6.8147l;4;243.0;16.80;395.56;13.45;19.70
0.04337;21.00l;5.640;0;0.4390;6.1150;63.00;6.8147l;4;243.0;16.80;393.97l;9.43;20.50
